"","Flight_no","Airport","From","Destination","d1","d2","net_charge","cost","Route"
"1",1,"Goroka Airport","Goroka","Papua New Guinea","GKA","AYGA",-6.08168983459,145.391998291,"Pacific/Port_Moresby"
"2",2,"Madang Airport","Madang","Papua New Guinea","MAG","AYMD",-5.20707988739,145.789001465,"Pacific/Port_Moresby"
"3",3,"Mount Hagen Kagamuga Airport","Mount Hagen","Papua New Guinea","HGU","AYMH",-5.82678985595703,144.296005249023,"Pacific/Port_Moresby"
"4",4,"Nadzab Airport","Nadzab","Papua New Guinea","LAE","AYNZ",-6.569803,146.725977,"Pacific/Port_Moresby"
"5",5,"Port Moresby Jacksons International Airport","Port Moresby","Papua New Guinea","POM","AYPY",-9.44338035583496,147.220001220703,"Pacific/Port_Moresby"
"6",6,"Wewak International Airport","Wewak","Papua New Guinea","WWK","AYWK",-3.58383011818,143.669006348,"Pacific/Port_Moresby"
"7",7,"Narsarsuaq Airport","Narssarssuaq","Greenland","UAK","BGBW",61.1604995728,-45.4259986877,"America/Godthab"
"8",8,"Godthaab / Nuuk Airport","Godthaab","Greenland","GOH","BGGH",64.19090271,-51.6781005859,"America/Godthab"
"9",9,"Kangerlussuaq Airport","Sondrestrom","Greenland","SFJ","BGSF",67.0122218992,-50.7116031647,"America/Godthab"
"10",10,"Thule Air Base","Thule","Greenland","THU","BGTL",76.5311965942,-68.7032012939,"America/Thule"
"11",11,"Akureyri Airport","Akureyri","Iceland","AEY","BIAR",65.6600036621094,-18.0727005004883,"Atlantic/Reykjavik"
"12",12,"Egilsstaðir Airport","Egilsstadir","Iceland","EGS","BIEG",65.2833023071289,-14.4013996124268,"Atlantic/Reykjavik"
"13",13,"Hornafjörður Airport","Hofn","Iceland","HFN","BIHN",64.295601,-15.2272,"Atlantic/Reykjavik"
"14",14,"Húsavík Airport","Husavik","Iceland","HZK","BIHU",65.952301,-17.426001,"Atlantic/Reykjavik"
"15",15,"Ísafjörður Airport","Isafjordur","Iceland","IFJ","BIIS",66.0580978393555,-23.1352996826172,"Atlantic/Reykjavik"
"16",16,"Keflavik International Airport","Keflavik","Iceland","KEF","BIKF",63.985000610352,-22.605600357056,"Atlantic/Reykjavik"
"17",17,"Patreksfjörður Airport","Patreksfjordur","Iceland","PFJ","BIPA",65.555801,-23.965,"Atlantic/Reykjavik"
"18",18,"Reykjavik Airport","Reykjavik","Iceland","RKV","BIRK",64.1299972534,-21.9405994415,"Atlantic/Reykjavik"
"19",19,"Siglufjörður Airport","Siglufjordur","Iceland","SIJ","BISI",66.133301,-18.9167,"Atlantic/Reykjavik"
"20",20,"Vestmannaeyjar Airport","Vestmannaeyjar","Iceland","VEY","BIVM",63.4243011474609,-20.2789001464844,"Atlantic/Reykjavik"
"21",21,"Sault Ste Marie Airport","Sault Sainte Marie","Canada","YAM","CYAM",46.4850006103516,-84.5093994140625,"America/Toronto"
"22",22,"Winnipeg / St. Andrews Airport","Winnipeg","Canada","\N","CYAV",50.0564002991,-97.0325012207,"America/Winnipeg"
"23",23,"Halifax / CFB Shearwater Heliport","Halifax","Canada","\N","CYAW",44.639702,-63.499401,"America/Halifax"
"24",24,"St. Anthony Airport","St. Anthony","Canada","YAY","CYAY",51.3918991089,-56.0830993652,"America/St_Johns"
"25",25,"Tofino / Long Beach Airport","Tofino","Canada","YAZ","CYAZ",49.079833,-125.775583,"America/Vancouver"
"26",26,"Kugaaruk Airport","Pelly Bay","Canada","YBB","CYBB",68.534401,-89.808098,"America/Edmonton"
"27",27,"Baie Comeau Airport","Baie Comeau","Canada","YBC","CYBC",49.1324996948242,-68.2043991088867,"America/Toronto"
"28",28,"CFB Bagotville","Bagotville","Canada","YBG","CYBG",48.3306007385254,-70.9963989257812,"America/Toronto"
"29",29,"Baker Lake Airport","Baker Lake","Canada","YBK","CYBK",64.2988967896,-96.077796936,"America/Winnipeg"
"30",30,"Campbell River Airport","Campbell River","Canada","YBL","CYBL",49.9508018493652,-125.271003723145,"America/Vancouver"
"31",31,"Brandon Municipal Airport","Brandon","Canada","YBR","CYBR",49.91,-99.951897,"America/Winnipeg"
"32",32,"Cambridge Bay Airport","Cambridge Bay","Canada","YCB","CYCB",69.1081008911,-105.138000488,"America/Edmonton"
"33",33,"Nanaimo Airport","Nanaimo","Canada","YCD","CYCD",49.0549702249,-123.869862556,"America/Vancouver"
"34",34,"Castlegar/West Kootenay Regional Airport","Castlegar","Canada","YCG","CYCG",49.2963981628,-117.632003784,"America/Vancouver"
"35",35,"Miramichi Airport","Chatham","Canada","YCH","CYCH",47.007801,-65.449203,"America/Halifax"
"36",36,"Charlo Airport","Charlo","Canada","YCL","CYCL",47.990799,-66.330299,"America/Halifax"
"37",37,"Kugluktuk Airport","Coppermine","Canada","YCO","CYCO",67.816704,-115.143997,"America/Edmonton"
"38",38,"Coronation Airport","Coronation","Canada","YCT","CYCT",52.0750007629,-111.444999695,"America/Edmonton"
"39",39,"Chilliwack Airport","Chilliwack","Canada","YCW","CYCW",49.1528015137,-121.939002991,"America/Vancouver"
"40",40,"Clyde River Airport","Clyde River","Canada","YCY","CYCY",70.4860992432,-68.5167007446,"America/Toronto"
"41",41,"Coral Harbour Airport","Coral Harbour","Canada","YZS","CYZS",64.1932983398,-83.3593978882,"America/Coral_Harbour"
"42",42,"Dawson City Airport","Dawson","Canada","YDA","CYDA",64.043098449707,-139.128005981445,"America/Vancouver"
"43",43,"Burwash Airport","Burwash","Canada","YDB","CYDB",61.3711013793945,-139.041000366211,"America/Vancouver"
"44",44,"Princeton Airport","Princeton","Canada","\N","CYDC",49.4681015015,-120.511001587,"America/Vancouver"
"45",45,"Deer Lake Airport","Deer Lake","Canada","YDF","CYDF",49.2108001708984,-57.3913993835449,"America/St_Johns"
"46",46,"Dease Lake Airport","Dease Lake","Canada","YDL","CYDL",58.4221992493,-130.031997681,"America/Vancouver"
"47",47,"Dauphin Barker Airport","Dauphin","Canada","YDN","CYDN",51.1007995605469,-100.052001953125,"America/Winnipeg"
"48",48,"Dawson Creek Airport","Dawson Creek","Canada","YDQ","CYDQ",55.7422981262207,-120.182998657227,"America/Dawson_Creek"
"49",49,"Edmonton International Airport","Edmonton","Canada","YEG","CYEG",53.3097000122,-113.580001831,"America/Edmonton"
"50",50,"Arviat Airport","Eskimo Point","Canada","YEK","CYEK",61.0942001343,-94.0708007812,"America/Winnipeg"
